title,company,experience,salary,location,description,skills,posted
Data Analyst,Indium Software,1-5 Yrs,,Hyderabad,"Required SkillsGood Python knowledge (Pandas, automation) Experience with data visualiz...","Root cause analysis, Automation, tableau, Analytical, power bi, Data Analyst, data visualization, SQL",1 day ago
Data Analyst,E4 Softwares,0-3 Yrs,,Mumbai,Develop and maintain large-scale databases and data systems to support business opera...,"python, data analysis, data analytics, sas, natural language processing, data mining, predictive analytics, process improvement",3+ weeks ago
Data Analyst at A FinTech Company,Talentzo Delhi,2-6 Yrs,15-25 Lacs PA,Remote,Responsibilities Build and enhance scalable data modelsDrive data-driven insights and b...,"SQL, Data Analysis, Python, Company, Fintech, Analysis, Data",2 days ago
DATA ANALYST L3,Wipro,3-5 Yrs,,Bengaluru,Experience: 3-5 Years . . .,"Data Analyst, Data Validation, Automation, Data Engineering, C, Business Analytics, Digital Transformation, Reporting Tools",1 week ago
Data Analyst,Ebizneeds (India) Internet Solutions Pvt. Ltd,0-3 Yrs,,Jaipur,Ebizneeds (India) Internet Solutions Pvt. Ltd is looking for Data Analyst to join our d...,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago
Data Analyst,Maven Marketing,0-7 Yrs,,Chennai,Disclaimer: This job description has been sourced from a public domain and may have bee...,"database maintenance, python, data analysis, data management, data analytics, problem solving, dashboards, sql",3+ weeks ago
DATA ANALYST L4,Wipro,5-8 Yrs,,Bengaluru,Experience: 5-8 Years . . .,"Data Analyst, Data Validation, Automation, C, Business Analytics, Bigquery, Digital Transformation, Reporting Tools",1 week ago
DATA ANALYST L4,Wipro,5-8 Yrs,,Bengaluru,Experience: 5-8 Years . . .,"Data Analyst, Data Validation, Design, Automation, Sales, C, Business Analytics, Digital Transformation",1 week ago
DATA ANALYST L4,Wipro,5-8 Yrs,,Bengaluru,Experience: 5-8 Years . . .,"Data Analyst, Data Validation, Automation, Data Engineering, C, Business Analytics, Digital Transformation, Reporting Tools",1 week ago
DATA ANALYST L4,Wipro,5-8 Yrs,,Bengaluru,Experience: 5-8 Years . . .,"Data Analyst, Data Validation, Design, Automation, Sales, C, Business Analytics, Big Data",1 week ago
